Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig270-benchmarks-whetstone.riscv,7.87e-02,1.06e-02,3.73e-03,9.30e-02
PRTEDConfig271-benchmarks-mt-vvadd.riscv,6.77e-02,1.05e-02,3.30e-03,8.15e-02
PRTEDConfig271-benchmarks-whetstone.riscv,6.85e-02,9.10e-03,3.32e-03,8.09e-02
PRTEDConfig272-benchmarks-mt-vvadd.riscv,0.109,1.71e-02,5.20e-03,0.131
PRTEDConfig272-benchmarks-whetstone.riscv,0.109,1.44e-02,5.24e-03,0.129
PRTEDConfig273-benchmarks-mt-vvadd.riscv,5.59e-02,7.24e-03,3.24e-03,6.63e-02
PRTEDConfig273-benchmarks-whetstone.riscv,5.78e-02,6.37e-03,3.26e-03,6.74e-02
PRTEDConfig274-benchmarks-mt-vvadd.riscv,8.26e-02,1.33e-02,4.56e-03,0.100
PRTEDConfig274-benchmarks-whetstone.riscv,8.30e-02,1.16e-02,4.59e-03,9.92e-02
PRTEDConfig275-benchmarks-mt-vvadd.riscv,8.44e-02,1.50e-02,4.47e-03,0.104
PRTEDConfig275-benchmarks-whetstone.riscv,8.25e-02,1.27e-02,4.51e-03,9.97e-02
PRTEDConfig276-benchmarks-mt-vvadd.riscv,7.59e-02,1.16e-02,3.64e-03,9.12e-02
PRTEDConfig276-benchmarks-whetstone.riscv,7.58e-02,9.74e-03,3.66e-03,8.92e-02
PRTEDConfig277-benchmarks-mt-vvadd.riscv,6.20e-02,8.98e-03,3.72e-03,7.47e-02
PRTEDConfig277-benchmarks-whetstone.riscv,6.16e-02,7.06e-03,3.75e-03,7.24e-02
PRTEDConfig278-benchmarks-mt-vvadd.riscv,6.94e-02,9.55e-03,3.45e-03,8.24e-02
PRTEDConfig278-benchmarks-whetstone.riscv,6.87e-02,7.20e-03,3.48e-03,7.93e-02
PRTEDConfig279-benchmarks-mt-vvadd.riscv,6.31e-02,8.23e-03,3.49e-03,7.48e-02
PRTEDConfig279-benchmarks-whetstone.riscv,6.32e-02,6.56e-03,3.51e-03,7.32e-02
PRTEDConfig280-benchmarks-mt-vvadd.riscv,6.78e-02,1.13e-02,3.29e-03,8.24e-02
PRTEDConfig280-benchmarks-whetstone.riscv,6.83e-02,9.74e-03,3.30e-03,8.13e-02
PRTEDConfig281-benchmarks-mt-vvadd.riscv,6.61e-02,9.82e-03,3.57e-03,7.95e-02
PRTEDConfig281-benchmarks-whetstone.riscv,6.53e-02,7.28e-03,3.60e-03,7.62e-02
PRTEDConfig282-benchmarks-mt-vvadd.riscv,8.85e-02,1.40e-02,4.46e-03,0.107
PRTEDConfig282-benchmarks-whetstone.riscv,8.91e-02,1.18e-02,4.47e-03,0.105
PRTEDConfig283-benchmarks-mt-vvadd.riscv,7.93e-02,1.26e-02,4.37e-03,9.62e-02
