Configure,Int Power,Switch Power,Leak Power,Total Power
CRTEDConfig181-benchmarks-whetstone.riscv,6.48e-02,7.18e-03,4.15e-03,7.61e-02
CRTEDConfig187-benchmarks-mt-vvadd.riscv,7.53e-02,1.29e-02,4.79e-03,9.30e-02
CRTEDConfig187-benchmarks-whetstone.riscv,7.52e-02,1.12e-02,4.83e-03,9.12e-02
CRTEDConfig189-benchmarks-mt-vvadd.riscv,6.67e-02,1.12e-02,3.70e-03,8.16e-02
CRTEDConfig189-benchmarks-whetstone.riscv,6.66e-02,9.47e-03,3.72e-03,7.98e-02
CRTEDConfig193-benchmarks-mt-vvadd.riscv,6.71e-02,1.05e-02,3.65e-03,8.13e-02
CRTEDConfig193-benchmarks-whetstone.riscv,6.62e-02,7.99e-03,3.67e-03,7.79e-02
CRTEDConfig207-benchmarks-mt-vvadd.riscv,6.90e-02,9.79e-03,3.93e-03,8.27e-02
CRTEDConfig207-benchmarks-whetstone.riscv,6.99e-02,8.03e-03,3.96e-03,8.19e-02
CRTEDConfig211-benchmarks-mt-vvadd.riscv,8.91e-02,1.41e-02,5.15e-03,0.108
CRTEDConfig211-benchmarks-whetstone.riscv,8.78e-02,1.17e-02,5.19e-03,0.105
CRTEDConfig213-benchmarks-mt-vvadd.riscv,6.64e-02,9.24e-03,4.72e-03,8.04e-02
CRTEDConfig213-benchmarks-whetstone.riscv,6.61e-02,7.23e-03,4.76e-03,7.81e-02
CRTEDConfig218-benchmarks-mt-vvadd.riscv,7.06e-02,8.90e-03,3.94e-03,8.34e-02
CRTEDConfig218-benchmarks-whetstone.riscv,7.13e-02,7.37e-03,3.97e-03,8.26e-02
CRTEDConfig229-benchmarks-mt-vvadd.riscv,6.23e-02,8.97e-03,3.54e-03,7.48e-02
CRTEDConfig229-benchmarks-whetstone.riscv,7.27e-02,1.26e-02,3.55e-03,8.89e-02
CRTEDConfig230-benchmarks-mt-vvadd.riscv,8.47e-02,1.38e-02,5.08e-03,0.104
CRTEDConfig230-benchmarks-whetstone.riscv,0.304,0.206,5.03e-03,0.515
CRTEDConfig241-benchmarks-mt-vvadd.riscv,8.35e-02,1.37e-02,4.29e-03,0.101
CRTEDConfig241-benchmarks-whetstone.riscv,8.56e-02,1.23e-02,4.32e-03,0.102
CRTEDConfig243-benchmarks-mt-vvadd.riscv,9.14e-02,1.46e-02,4.49e-03,0.110
CRTEDConfig243-benchmarks-whetstone.riscv,9.42e-02,1.37e-02,4.52e-03,0.112
CRTEDConfig246-benchmarks-mt-vvadd.riscv,8.43e-02,1.21e-02,5.25e-03,0.102
CRTEDConfig246-benchmarks-whetstone.riscv,9.30e-02,1.49e-02,5.26e-03,0.113
CRTEDConfig257-benchmarks-mt-vvadd.riscv,8.74e-02,1.45e-02,4.10e-03,0.106
CRTEDConfig257-benchmarks-whetstone.riscv,8.77e-02,1.25e-02,4.12e-03,0.104
CRTEDConfig259-benchmarks-mt-vvadd.riscv,8.95e-02,1.41e-02,4.50e-03,0.108
CRTEDConfig259-benchmarks-whetstone.riscv,9.20e-02,1.30e-02,4.52e-03,0.109
CRTEDConfig265-benchmarks-mt-vvadd.riscv,9.08e-02,1.52e-02,4.63e-03,0.111
CRTEDConfig265-benchmarks-whetstone.riscv,9.05e-02,1.25e-02,4.66e-03,0.108
CRTEDConfig266-benchmarks-mt-vvadd.riscv,8.98e-02,1.48e-02,4.34e-03,0.109
CRTEDConfig266-benchmarks-whetstone.riscv,9.29e-02,1.38e-02,4.37e-03,0.111
CRTEDConfig280-benchmarks-mt-vvadd.riscv,0.107,1.78e-02,4.84e-03,0.129
CRTEDConfig280-benchmarks-whetstone.riscv,0.108,1.58e-02,4.86e-03,0.128
CRTEDConfig281-benchmarks-mt-vvadd.riscv,8.85e-02,1.47e-02,4.45e-03,0.108
CRTEDConfig281-benchmarks-whetstone.riscv,8.89e-02,1.25e-02,4.48e-03,0.106
CRTEDConfig288-benchmarks-mt-vvadd.riscv,8.86e-02,1.51e-02,4.74e-03,0.108
CRTEDConfig288-benchmarks-whetstone.riscv,8.85e-02,1.25e-02,4.77e-03,0.106
CRTEDConfig295-benchmarks-mt-vvadd.riscv,8.71e-02,1.33e-02,4.93e-03,0.105
