Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomConfig-benchmarks-recursion.riscv,1.85e-02,2.07e-03,3.83e-03,2.44e-02
LargeBoomConfig-benchmarks-h264_dec.riscv,2.26e-02,4.84e-03,3.87e-03,3.13e-02
LargeBoomConfig-benchmarks-rv64ui-p-auipc_200,2.54e-02,4.27e-03,3.84e-03,3.35e-02
LargeBoomConfig-benchmarks-rv64ui-p-sra_200,2.55e-02,6.52e-03,3.87e-03,3.59e-02
LargeBoomConfig-benchmarks-prime.riscv,1.91e-02,2.51e-03,3.86e-03,2.54e-02
LargeBoomConfig-benchmarks-petrinet.riscv,1.89e-02,2.51e-03,3.83e-03,2.52e-02
LargeBoomConfig-benchmarks-mergesort.riscv,2.83e-02,8.21e-03,3.93e-03,4.05e-02
LargeBoomConfig-benchmarks-ludcmp.riscv,1.72e-02,1.79e-03,3.82e-03,2.29e-02
LargeBoomConfig-benchmarks-crc.riscv,2.20e-02,4.51e-03,3.87e-03,3.04e-02
LargeBoomConfig-benchmarks-nsichneu.riscv,1.83e-02,2.41e-03,3.84e-03,2.45e-02
LargeBoomConfig-benchmarks-fibonacci.riscv,2.20e-02,3.90e-03,3.86e-03,2.97e-02
LargeBoomConfig-benchmarks-huff_dec.riscv,2.54e-02,6.27e-03,3.90e-03,3.55e-02
LargeBoomConfig-benchmarks-rv64ui-p-lui_200,2.43e-02,4.20e-03,3.83e-03,3.23e-02
LargeBoomConfig-benchmarks-rv64ui-p-sw_200,2.58e-02,6.48e-03,3.87e-03,3.61e-02
LargeBoomConfig-benchmarks-statemate.riscv,2.18e-02,4.01e-03,3.86e-03,2.97e-02
LargeBoomConfig-benchmarks-bsort.riscv,2.49e-02,6.47e-03,3.89e-03,3.53e-02
LargeBoomConfig-benchmarks-whetstone.riscv,1.91e-02,2.65e-03,3.88e-03,2.56e-02
LargeBoomConfig-benchmarks-cjpeg_wrbmp.riscv,2.05e-02,3.71e-03,3.88e-03,2.81e-02
LargeBoomConfig-benchmarks-sqrt.riscv,2.03e-02,3.19e-03,3.93e-03,2.74e-02
LargeBoomConfig-benchmarks-adpcm_enc.riscv,1.97e-02,2.70e-03,3.92e-03,2.63e-02
LargeBoomConfig-benchmarks-basicmath_small.riscv,2.28e-02,4.87e-03,3.93e-03,3.16e-02
LargeBoomConfig-benchmarks-adpcm_dec.riscv,2.01e-02,2.98e-03,3.92e-03,2.70e-02
LargeBoomConfig-benchmarks-ndes.riscv,2.21e-02,4.35e-03,3.88e-03,3.04e-02
LargeBoomConfig-benchmarks-levenshtein.riscv,2.55e-02,6.09e-03,3.89e-03,3.54e-02
LargeBoomConfig-benchmarks-reduce_array.riscv,1.68e-02,1.66e-03,3.82e-03,2.23e-02
LargeBoomConfig-benchmarks-add_int.riscv,2.24e-02,4.03e-03,3.91e-03,3.03e-02
LargeBoomConfig-benchmarks-rv64ud-p-move_200,2.92e-02,7.56e-03,3.91e-03,4.07e-02
LargeBoomConfig-benchmarks-rv64ui-p-slli_200,2.50e-02,5.84e-03,3.85e-03,3.47e-02
LargeBoomConfig-benchmarks-rv64ui-p-xori_200,2.54e-02,6.09e-03,3.86e-03,3.54e-02
LargeBoomConfig-benchmarks-rv64ui-p-fence_i_200,2.00e-02,2.11e-03,3.86e-03,2.59e-02
LargeBoomConfig-benchmarks-rv64ud-p-fadd_200,1.91e-02,2.63e-03,3.86e-03,2.56e-02
LargeBoomConfig-benchmarks-rv64ui-p-lw_200,2.54e-02,6.09e-03,3.86e-03,3.54e-02
LargeBoomConfig-benchmarks-bubblesort.riscv,2.66e-02,7.40e-03,3.91e-03,3.79e-02
LargeBoomSEConfig-benchmarks-rv64ud-p-move_200,2.73e-02,7.16e-03,3.61e-03,3.80e-02
LargeBoomSEConfig-benchmarks-vvadd.riscv,1.89e-02,3.10e-03,3.55e-03,2.56e-02
LargeBoomSEConfig-benchmarks-compress.riscv,1.72e-02,2.24e-03,3.53e-03,2.30e-02
LargeBoomSEConfig-benchmarks-towers.riscv,2.04e-02,3.76e-03,3.57e-03,2.77e-02
LargeBoomSEConfig-benchmarks-reduce_array.riscv,1.56e-02,1.61e-03,3.52e-03,2.08e-02
LargeBoomSEConfig-benchmarks-martrix_mult.riscv,2.14e-02,4.54e-03,3.60e-03,2.96e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-ori_200,2.40e-02,5.85e-03,3.56e-03,3.34e-02
LargeBoomSEConfig-benchmarks-median.riscv,2.03e-02,4.10e-03,3.57e-03,2.80e-02
LargeBoomSEConfig-benchmarks-mt-matmul.riscv,2.09e-02,4.04e-03,3.57e-03,2.85e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-slt_200,2.34e-02,5.75e-03,3.55e-03,3.27e-02
LargeBoomSEConfig-benchmarks-multiply.riscv,2.23e-02,4.92e-03,3.58e-03,3.08e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-add_200,2.35e-02,5.74e-03,3.55e-03,3.28e-02
LargeBoomSEConfig-benchmarks-mt-vvadd.riscv,1.85e-02,3.01e-03,3.55e-03,2.50e-02
LargeBoomSEConfig-benchmarks-edn.riscv,2.38e-02,6.08e-03,3.59e-03,3.34e-02
LargeBoomSEConfig-benchmarks-spmv.riscv,1.92e-02,3.43e-03,3.56e-03,2.62e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-lw_200,2.39e-02,5.82e-03,3.56e-03,3.32e-02
