Configure,Int Power,Switch Power,Leak Power,Total Power
Config97-benchmarks-mt-vvadd.riscv,6.32e-02,9.47e-03,3.02e-03,7.57e-02
Config98-benchmarks-whetstone.riscv,5.36e-02,5.68e-03,2.81e-03,6.21e-02
Config98-benchmarks-mt-vvadd.riscv,5.13e-02,6.13e-03,2.79e-03,6.02e-02
Config98-benchmarks-fft.riscv,5.41e-02,7.49e-03,2.84e-03,6.44e-02
Config99-benchmarks-whetstone.riscv,4.93e-02,5.58e-03,2.40e-03,5.72e-02
Config99-benchmarks-mt-vvadd.riscv,4.87e-02,6.90e-03,2.39e-03,5.80e-02
Config99-benchmarks-fft.riscv,5.10e-02,7.97e-03,2.43e-03,6.14e-02
Config99-benchmarks-h264_dec.riscv,5.44e-02,1.02e-02,2.39e-03,6.71e-02
Config100-benchmarks-whetstone.riscv,5.69e-02,6.13e-03,3.12e-03,6.62e-02
Config100-benchmarks-mt-vvadd.riscv,5.58e-02,7.22e-03,3.10e-03,6.61e-02
Config101-benchmarks-whetstone.riscv,7.02e-02,9.14e-03,3.81e-03,8.32e-02
Config101-benchmarks-mt-vvadd.riscv,7.03e-02,1.10e-02,3.79e-03,8.51e-02
Config101-benchmarks-fft.riscv,7.25e-02,1.22e-02,3.85e-03,8.86e-02
Config101-benchmarks-h264_dec.riscv,8.00e-02,1.77e-02,3.80e-03,0.101
Config102-benchmarks-whetstone.riscv,7.52e-02,9.63e-03,4.11e-03,8.90e-02
Config102-benchmarks-mt-vvadd.riscv,7.47e-02,1.07e-02,4.09e-03,8.95e-02
Config103-benchmarks-whetstone.riscv,8.96e-02,1.19e-02,4.83e-03,0.106
Config103-benchmarks-mt-vvadd.riscv,8.99e-02,1.43e-02,4.80e-03,0.109
Config103-benchmarks-fft.riscv,9.20e-02,1.50e-02,4.89e-03,0.112
Config103-benchmarks-h264_dec.riscv,9.82e-02,2.05e-02,4.81e-03,0.124
Config104-benchmarks-whetstone.riscv,6.78e-02,9.55e-03,3.21e-03,8.06e-02
Config104-benchmarks-mt-vvadd.riscv,6.51e-02,9.67e-03,3.20e-03,7.80e-02
Config104-benchmarks-fft.riscv,6.85e-02,1.15e-02,3.24e-03,8.33e-02
Config105-benchmarks-whetstone.riscv,7.25e-02,9.92e-03,4.15e-03,8.65e-02
Config105-benchmarks-mt-vvadd.riscv,7.30e-02,1.21e-02,4.12e-03,8.92e-02
Config105-benchmarks-fft.riscv,7.46e-02,1.29e-02,4.19e-03,9.17e-02
Config105-benchmarks-h264_dec.riscv,8.14e-02,1.77e-02,4.13e-03,0.103
Config106-benchmarks-whetstone.riscv,5.91e-02,6.25e-03,3.19e-03,6.86e-02
Config106-benchmarks-fft.riscv,6.15e-02,8.36e-03,3.23e-03,7.31e-02
Config106-benchmarks-mt-vvadd.riscv,5.93e-02,7.71e-03,3.17e-03,7.02e-02
Config106-benchmarks-h264_dec.riscv,6.53e-02,1.13e-02,3.18e-03,7.98e-02
Config107-benchmarks-whetstone.riscv,5.33e-02,6.04e-03,2.61e-03,6.19e-02
Config107-benchmarks-fft.riscv,5.29e-02,7.40e-03,2.59e-03,6.29e-02
Config107-benchmarks-h264_dec.riscv,5.92e-02,1.13e-02,2.60e-03,7.31e-02
Config108-benchmarks-whetstone.riscv,7.08e-02,1.04e-02,4.07e-03,8.52e-02
Config108-benchmarks-mt-vvadd.riscv,7.01e-02,1.19e-02,4.03e-03,8.61e-02
Config108-benchmarks-fft.riscv,7.47e-02,1.39e-02,4.12e-03,9.27e-02
Config108-benchmarks-h264_dec.riscv,7.93e-02,1.81e-02,4.05e-03,0.101
Config109-benchmarks-whetstone.riscv,6.43e-02,5.72e-03,3.66e-03,7.36e-02
Config109-benchmarks-fft.riscv,6.59e-02,8.78e-03,3.70e-03,7.84e-02
Config109-benchmarks-mt-vvadd.riscv,6.44e-02,7.96e-03,3.64e-03,7.60e-02
Config109-benchmarks-h264_dec.riscv,7.27e-02,1.40e-02,3.65e-03,9.04e-02
Config110-benchmarks-whetstone.riscv,6.65e-02,7.66e-03,3.84e-03,7.80e-02
Config110-benchmarks-mt-vvadd.riscv,6.67e-02,9.74e-03,3.81e-03,8.03e-02
Config110-benchmarks-fft.riscv,7.14e-02,1.21e-02,3.88e-03,8.74e-02
Config110-benchmarks-h264_dec.riscv,7.49e-02,1.51e-02,3.82e-03,9.38e-02
Config111-benchmarks-whetstone.riscv,0.104,1.45e-02,5.23e-03,0.124
Config111-benchmarks-mt-vvadd.riscv,0.103,1.62e-02,5.20e-03,0.124
Config111-benchmarks-fft.riscv,0.111,2.00e-02,5.30e-03,0.136
Config111-benchmarks-h264_dec.riscv,0.116,2.55e-02,5.20e-03,0.147
Config112-benchmarks-whetstone.riscv,5.76e-02,8.79e-03,2.64e-03,6.90e-02
Config112-benchmarks-fft.riscv,5.90e-02,1.09e-02,2.67e-03,7.26e-02
Config112-benchmarks-mt-vvadd.riscv,5.67e-02,9.67e-03,2.63e-03,6.90e-02
Config112-benchmarks-h264_dec.riscv,6.40e-02,1.37e-02,2.63e-03,8.03e-02
Config113-benchmarks-whetstone.riscv,5.16e-02,5.92e-03,2.70e-03,6.02e-02
Config113-benchmarks-mt-vvadd.riscv,4.91e-02,6.28e-03,2.69e-03,5.81e-02
Config114-benchmarks-whetstone.riscv,6.74e-02,8.91e-03,3.27e-03,7.96e-02
Config114-benchmarks-mt-vvadd.riscv,6.56e-02,9.60e-03,3.26e-03,7.85e-02
