Configure,Cycles
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-dhrystone.riscv,105611
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-median.riscv,29020
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-mm.riscv,187864
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-mt-matmul.riscv,26781
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-mt-vvadd.riscv,85921
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-multiply.riscv,40555
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-qsort.riscv,288891
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rsort.riscv,160157
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-spmv.riscv,114447
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-towers.riscv,16120
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-vvadd.riscv,17841
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-add_fp_large.riscv,17277
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-add_fp.riscv,17279
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-add_int_large.riscv,156101
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-add_int.riscv,155445
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-adpcm_dec.riscv,152772
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-adpcm_enc.riscv,153569
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-binarysearch.riscv,31917
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-bitcount.riscv,29639
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-bitonic.riscv,20053
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-branchy_large.riscv,13759
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-branchy.riscv,13759
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-bsort.riscv,36078
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-cjpeg_wrbmp.riscv,75324
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-complex_updates.riscv,15935
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-countnegative.riscv,28562
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-cover.riscv,14600
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-crc.riscv,39642
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-duff.riscv,15453
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-fac.riscv,14189
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-fft.riscv,132738
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-fibonacci.riscv,37924
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-fir2dim.riscv,17281
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-fmref.riscv,179430
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-h264_dec.riscv,124976
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-hello_world_large.riscv,326170
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-hello_world.riscv,138952
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-huff_dec.riscv,110521
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-iir.riscv,14996
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-insertsort.riscv,15396
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-jfdcint.riscv,17522
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-lms.riscv,
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-ludcmp.riscv,51539
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-martrix_mult.riscv,130515
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-matrix1.riscv,
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-minver.riscv,17504
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-ndes.riscv,68704
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-petrinet.riscv,24114
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-prime.riscv,21993
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-recursion.riscv,15202
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-reduce_array.riscv,284507
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-statemate.riscv,40587
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-st.riscv,120455
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ua-p-amoadd_d_200,21756
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ud-p-fadd_200,83399
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ud-p-fclass_200,7467
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ud-p-move_200,60439
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ud-p-structural_200,12755
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-add_200,40141
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-auipc_200,4434
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-bne_200,28061
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-fence_i_200,67693
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-jal_200,4097
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-jalr_200,9106
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-lui_200,4425
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-lw_200,25783
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-ori_200,16927
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-slli_200,21137
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-slt_200,38850
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-sra_200,42331
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-sw_200,48806
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64ui-p-xori_200,16942
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-rv64um-p-mulw_200,35254
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-basicmath_small.riscv,78559
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-bubblesort.riscv,150039
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-cnt.riscv,21285
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-compress.riscv,26633
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-edn.riscv,50370
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-expint.riscv,41265
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-frac.riscv,23370
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-levenshtein.riscv,58330
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-lift.riscv,146283
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-mergesort.riscv,142979
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-ns.riscv,22377
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-qurt.riscv,210145
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-select.riscv,16248
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-sqrt.riscv,147444
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-tarai.riscv,14844
chipyard.TestHarness.GigaBoomSEConfig-ChipTop-whetstone.riscv,39760
chipyard.TestHarness.MegaBoomProConfig-ChipTop-dhrystone.riscv,109880
chipyard.TestHarness.MegaBoomProConfig-ChipTop-median.riscv,28821
chipyard.TestHarness.MegaBoomProConfig-ChipTop-mm.riscv,176706
chipyard.TestHarness.MegaBoomProConfig-ChipTop-mt-matmul.riscv,27561
chipyard.TestHarness.MegaBoomProConfig-ChipTop-mt-vvadd.riscv,85457
chipyard.TestHarness.MegaBoomProConfig-ChipTop-multiply.riscv,40585
chipyard.TestHarness.MegaBoomProConfig-ChipTop-qsort.riscv,287492
chipyard.TestHarness.MegaBoomProConfig-ChipTop-rsort.riscv,176141
chipyard.TestHarness.MegaBoomProConfig-ChipTop-spmv.riscv,113292
chipyard.TestHarness.MegaBoomProConfig-ChipTop-towers.riscv,16210
chipyard.TestHarness.MegaBoomProConfig-ChipTop-vvadd.riscv,17846
chipyard.TestHarness.MegaBoomProConfig-ChipTop-add_fp_large.riscv,17261
chipyard.TestHarness.MegaBoomProConfig-ChipTop-add_fp.riscv,17258
chipyard.TestHarness.MegaBoomProConfig-ChipTop-add_int_large.riscv,157683
chipyard.TestHarness.MegaBoomProConfig-ChipTop-add_int.riscv,156427
chipyard.TestHarness.MegaBoomProConfig-ChipTop-adpcm_dec.riscv,152768
chipyard.TestHarness.MegaBoomProConfig-ChipTop-adpcm_enc.riscv,153497
chipyard.TestHarness.MegaBoomProConfig-ChipTop-binarysearch.riscv,31977
chipyard.TestHarness.MegaBoomProConfig-ChipTop-bitcount.riscv,28114
chipyard.TestHarness.MegaBoomProConfig-ChipTop-bitonic.riscv,20038
chipyard.TestHarness.MegaBoomProConfig-ChipTop-branchy_large.riscv,13729
chipyard.TestHarness.MegaBoomProConfig-ChipTop-branchy.riscv,13730
chipyard.TestHarness.MegaBoomProConfig-ChipTop-bsort.riscv,32527
chipyard.TestHarness.MegaBoomProConfig-ChipTop-cjpeg_wrbmp.riscv,81696
chipyard.TestHarness.MegaBoomProConfig-ChipTop-complex_updates.riscv,15948
chipyard.TestHarness.MegaBoomProConfig-ChipTop-countnegative.riscv,28816
chipyard.TestHarness.MegaBoomProConfig-ChipTop-cover.riscv,14572
chipyard.TestHarness.MegaBoomProConfig-ChipTop-crc.riscv,39668
chipyard.TestHarness.MegaBoomProConfig-ChipTop-duff.riscv,15482
chipyard.TestHarness.MegaBoomProConfig-ChipTop-fac.riscv,14174
chipyard.TestHarness.MegaBoomProConfig-ChipTop-fft.riscv,128765
chipyard.TestHarness.MegaBoomProConfig-ChipTop-fibonacci.riscv,41211
chipyard.TestHarness.MegaBoomProConfig-ChipTop-fir2dim.riscv,17190
chipyard.TestHarness.MegaBoomProConfig-ChipTop-fmref.riscv,168893
chipyard.TestHarness.MegaBoomProConfig-ChipTop-h264_dec.riscv,134183
chipyard.TestHarness.MegaBoomProConfig-ChipTop-hello_world_large.riscv,332113
chipyard.TestHarness.MegaBoomProConfig-ChipTop-hello_world.riscv,141296
chipyard.TestHarness.MegaBoomProConfig-ChipTop-iir.riscv,15011
chipyard.TestHarness.MegaBoomProConfig-ChipTop-jfdcint.riscv,17521
chipyard.TestHarness.MegaBoomProConfig-ChipTop-lms.riscv,
chipyard.TestHarness.MegaBoomProConfig-ChipTop-martrix_mult.riscv,127752
chipyard.TestHarness.MegaBoomProConfig-ChipTop-minver.riscv,17401
