Configure,Cycles
chipyard.TestHarness.BOOMConfig46Config-ChipTop-mt-vvadd.riscv,103131
chipyard.TestHarness.BOOMConfig46Config-ChipTop-whetstone.riscv,41183
chipyard.TestHarness.BOOMConfig47Config-ChipTop-fft.riscv,153299
chipyard.TestHarness.BOOMConfig47Config-ChipTop-h264_dec.riscv,158214
chipyard.TestHarness.BOOMConfig47Config-ChipTop-mt-vvadd.riscv,101686
chipyard.TestHarness.BOOMConfig47Config-ChipTop-whetstone.riscv,41506
chipyard.TestHarness.BOOMConfig48Config-ChipTop-fft.riscv,147767
chipyard.TestHarness.BOOMConfig48Config-ChipTop-h264_dec.riscv,138409
chipyard.TestHarness.BOOMConfig48Config-ChipTop-mt-vvadd.riscv,109883
chipyard.TestHarness.BOOMConfig48Config-ChipTop-whetstone.riscv,41084
chipyard.TestHarness.BOOMConfig49Config-ChipTop-fft.riscv,
chipyard.TestHarness.BOOMConfig49Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig49Config-ChipTop-mt-vvadd.riscv,111062
chipyard.TestHarness.BOOMConfig49Config-ChipTop-whetstone.riscv,41706
chipyard.TestHarness.BOOMConfig50Config-ChipTop-fft.riscv,147909
chipyard.TestHarness.BOOMConfig50Config-ChipTop-h264_dec.riscv,168387
chipyard.TestHarness.BOOMConfig50Config-ChipTop-mt-vvadd.riscv,103092
chipyard.TestHarness.BOOMConfig50Config-ChipTop-whetstone.riscv,41195
chipyard.TestHarness.BOOMConfig51Config-ChipTop-fft.riscv,164646
chipyard.TestHarness.BOOMConfig51Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig51Config-ChipTop-mt-vvadd.riscv,116697
chipyard.TestHarness.BOOMConfig51Config-ChipTop-whetstone.riscv,41502
chipyard.TestHarness.BOOMConfig52Config-ChipTop-fft.riscv,143933
chipyard.TestHarness.BOOMConfig52Config-ChipTop-h264_dec.riscv,154192
chipyard.TestHarness.BOOMConfig52Config-ChipTop-mt-vvadd.riscv,100906
chipyard.TestHarness.BOOMConfig52Config-ChipTop-whetstone.riscv,41318
