fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
8,4,32,32,24,80,80,8,8,12,1,4,1,4,8,8,4,8,4,41558.0,0.0843
8,2,32,64,32,80,80,8,8,16,2,1,2,8,4,32,4,16,4,41331.0,0.083
8,1,24,32,16,112,112,32,32,8,2,1,2,2,2,16,2,8,4,41488.0,0.0749
8,2,40,128,24,112,112,24,24,16,2,5,2,4,4,8,4,8,4,41191.0,0.0943
8,2,32,96,32,112,112,32,32,12,2,2,2,8,2,8,8,16,4,41197.0,0.0907
4,4,40,96,32,112,112,24,24,8,2,1,2,2,8,16,2,16,2,41168.0,0.074
8,4,32,32,16,80,80,16,16,8,1,2,1,2,2,16,8,32,4,41525.0,0.0808
8,1,40,64,16,96,96,8,8,20,1,3,1,4,8,32,8,8,4,41705.0,0.0828
4,2,8,96,32,112,112,32,32,8,1,5,1,8,2,8,8,32,2,41408.0,0.0669
4,2,32,128,24,80,80,32,32,20,1,3,1,4,4,32,8,32,2,41394.0,0.0725
4,1,32,130,24,48,48,24,24,8,1,5,1,2,4,16,8,16,2,41694.0,0.0596
4,1,16,64,32,112,112,24,24,20,2,2,2,4,8,8,4,16,2,41480.0,0.0726
4,1,32,96,24,96,96,24,24,12,1,3,1,4,8,16,2,8,2,41698.0,0.0614
4,1,35,96,24,96,96,24,24,20,1,4,1,2,8,32,8,8,2,41698.0,0.0702
4,1,35,130,24,64,64,32,32,20,2,3,2,4,8,32,4,32,2,41485.0,0.068
8,1,16,130,24,64,64,32,32,16,2,3,2,4,2,8,8,16,4,41461.0,0.0856
8,2,40,128,32,96,96,24,24,20,1,3,1,4,2,32,2,8,4,41356.0,0.0876
8,1,24,32,16,80,80,16,16,16,2,2,2,8,4,32,8,8,4,41471.0,0.0828
4,1,24,96,24,80,80,24,24,12,1,1,1,2,2,32,8,16,2,41716.0,0.0576
8,2,32,32,24,48,48,16,16,12,2,1,2,4,4,16,2,32,4,41333.0,0.0732
4,1,40,128,32,96,96,24,24,8,2,5,2,2,4,32,4,32,2,41481.0,0.0664
8,1,16,32,16,64,64,32,32,16,1,4,1,2,8,8,4,8,4,41683.0,0.0766
4,4,40,32,16,112,112,16,16,12,1,2,1,8,2,32,4,32,2,41573.0,0.0708
