episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
167,0,0,0,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
168,0.174984,-0.797794,0.065078,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
169,-0.059345,-0.043582,0.01967,0.134052,-0.642594,0.054029,0.174984,0,0.065078,-0.059345,-0.797794,0
170,0.174984,-0.797794,0.065078,0.134052,-0.642594,0.054029,0.174984,0,0.065078,-0.059345,-0.797794,0
171,0.011681,0.004431,0.042797,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
172,0.174984,-0.797794,0.065078,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
173,0.174984,-0.797794,0.065078,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
174,0.174984,-0.797794,0.065078,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
175,0.174984,-0.797794,0.065078,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
176,0.174984,-0.797794,0.065078,0.117722,-0.562371,0.051801,0.174984,0.004431,0.065078,-0.059345,-0.797794,0
177,0.174984,-0.797794,0.065078,0.135221,-0.642151,0.058309,0.174984,0.004431,0.065078,-0.059345,-0.797794,0.01967
178,0.174984,-0.797794,0.065078,0.135221,-0.642151,0.058309,0.174984,0.004431,0.065078,-0.059345,-0.797794,0.01967
179,0.174984,-0.797794,0.065078,0.158653,-0.717572,0.06285,0.174984,0.004431,0.065078,0.011681,-0.797794,0.042797
180,0.174984,-0.797794,0.065078,0.158653,-0.717572,0.06285,0.174984,0.004431,0.065078,0.011681,-0.797794,0.042797
181,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
182,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
183,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
184,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
185,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
186,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
187,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
188,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
189,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
190,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
191,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
192,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
193,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
194,0.00297,0.023638,0.03899,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
195,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
196,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
197,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
198,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
