episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
159,0.127152,0.07817,0.059393,0.124592,0.077057,0.059536,0.164044,0.597193,0.074153,0.031301,-0.050939,0.023046
160,0.128109,0.076651,0.059506,0.125212,0.077156,0.059516,0.164263,0.60125,0.073971,0.030675,-0.049876,0.022585
161,0.129046,0.075162,0.059618,0.125858,0.077253,0.059497,0.164477,0.605225,0.073793,0.030061,-0.048835,0.022134
162,0.129965,0.073703,0.059727,0.12649,0.077347,0.059479,0.164687,0.60912,0.073619,0.02946,-0.047814,0.021691
163,0.130865,0.072273,0.059834,0.12711,0.07744,0.059461,0.164893,0.612938,0.073448,0.028871,-0.046814,0.021257
164,0.131748,0.070872,0.059939,0.127718,0.077531,0.059443,0.165095,0.616679,0.073281,0.028293,-0.045833,0.020832
165,0.132612,0.069498,0.060042,0.128663,0.076024,0.059556,0.165293,0.604389,0.073117,0.031227,-0.044872,0.021717
166,0.13346,0.068152,0.060142,0.129589,0.074548,0.059666,0.165486,0.592346,0.072956,0.034102,-0.043931,0.022584
167,0.130791,0.082789,0.05894,0.130147,0.074697,0.059644,0.165676,0.596499,0.072798,0.03342,-0.043008,0.022133
168,0.131675,0.081178,0.059062,0.130694,0.074843,0.059623,0.165863,0.600569,0.072644,0.032752,-0.042104,0.02169
169,0.127854,0.094683,0.058275,0.130761,0.076494,0.059511,0.166045,0.604557,0.072493,0.03091,-0.041218,0.021256
170,0.128797,0.092833,0.058411,0.130827,0.078112,0.059401,0.166224,0.608466,0.072344,0.029105,-0.040349,0.020831
171,0.126454,0.107065,0.058098,0.130565,0.081302,0.059249,0.166399,0.612386,0.072199,0.027336,-0.039498,0.020414
172,0.127425,0.104968,0.058238,0.130308,0.084429,0.0591,0.166571,0.616227,0.072057,0.025602,-0.038664,0.020006
173,0.128376,0.102913,0.058375,0.130056,0.087493,0.058954,0.166739,0.619991,0.071917,0.023903,-0.037847,0.019606
174,0.129308,0.100898,0.058509,0.12981,0.090496,0.058811,0.166904,0.623679,0.07178,0.022238,-0.037046,0.019214
175,0.130222,0.098925,0.05864,0.129568,0.093438,0.058671,0.167065,0.627294,0.071646,0.020607,-0.036261,0.01883
176,0.131117,0.09699,0.058769,0.129331,0.096322,0.058533,0.167224,0.630837,0.071515,0.019008,-0.035491,0.018453
177,0.131994,0.095095,0.058895,0.129449,0.097553,0.058529,0.167379,0.634309,0.071386,0.017441,-0.034737,0.018477
178,0.132854,0.093237,0.059019,0.129564,0.098759,0.058525,0.167531,0.637712,0.07126,0.015905,-0.033998,0.018501
179,0.133697,0.091416,0.05914,0.130146,0.098432,0.058611,0.16768,0.641046,0.071136,0.01582,-0.033274,0.018987
180,0.134522,0.089632,0.059259,0.130716,0.098112,0.058696,0.167826,0.644314,0.071015,0.015738,-0.032565,0.019463
181,0.135332,0.087883,0.059375,0.131601,0.096194,0.058823,0.167969,0.631471,0.070896,0.018922,-0.031869,0.020376
182,0.136125,0.08617,0.059489,0.132469,0.094314,0.058949,0.16811,0.618886,0.07078,0.022044,-0.031188,0.02127
183,0.136902,0.084491,0.059601,0.133319,0.092472,0.059071,0.168247,0.606553,0.070666,0.025103,-0.03052,0.022146
184,0.137664,0.082845,0.05971,0.134153,0.090667,0.059191,0.168382,0.594466,0.070554,0.0281,-0.029865,0.023004
185,0.13841,0.081232,0.059818,0.134969,0.088897,0.059309,0.168514,0.58262,0.070445,0.031038,-0.029224,0.023846
186,0.139141,0.079652,0.059923,0.13577,0.087164,0.059424,0.168643,0.571012,0.070337,0.033917,-0.028595,0.02467
187,0.139858,0.078103,0.060026,0.136554,0.085464,0.059537,0.16877,0.559636,0.070232,0.036738,-0.027979,0.025479
188,0.140561,0.076585,0.060127,0.137322,0.083799,0.059648,0.168894,0.548487,0.070129,0.039503,-0.027376,0.026271
189,0.141249,0.075097,0.060226,0.138076,0.082167,0.059757,0.169016,0.537562,0.070028,0.042213,-0.026784,0.027047
190,0.141924,0.073639,0.060323,0.138814,0.080568,0.059863,0.169135,0.526855,0.069929,0.044868,-0.026204,0.027807
191,0.142585,0.072211,0.060418,0.139537,0.079001,0.059968,0.169252,0.516362,0.069832,0.04747,-0.025636,0.028553
192,0.143233,0.070811,0.060511,0.140246,0.077465,0.06007,0.169367,0.506079,0.069737,0.050021,-0.025079,0.029283
193,0.143868,0.069438,0.060603,0.140941,0.07596,0.06017,0.169479,0.496001,0.069644,0.05252,-0.024533,0.029999
194,0.14105,0.084522,0.06017,0.141278,0.076128,0.060216,0.169589,0.502554,0.069552,0.051529,-0.023999,0.030179
195,0.141729,0.082876,0.060269,0.141608,0.076292,0.060261,0.169697,0.508976,0.069463,0.050558,-0.023475,0.030355
196,0.142394,0.081263,0.060365,0.141931,0.076453,0.060305,0.169803,0.515269,0.069375,0.049606,-0.022961,0.030528
197,0.143046,0.079682,0.060459,0.142248,0.076611,0.060348,0.169907,0.521436,0.069289,0.048673,-0.022458,0.030697
198,0.143684,0.078132,0.060551,0.142559,0.076766,0.060391,0.170008,0.52748,0.069205,0.047759,-0.021964,0.030863
199,0.14431,0.076614,0.060642,0.142863,0.076917,0.060432,0.170108,0.533403,0.069122,0.046863,-0.021481,0.031025
200,0.144924,0.075125,0.060731,0.143162,0.077066,0.060473,0.170205,0.539208,0.069041,0.045985,-0.021007,0.031185
201,0.145525,0.073667,0.060818,0.143454,0.077212,0.060513,0.170301,0.544897,0.068962,0.045125,-0.020543,0.031341
202,0.142673,0.088823,0.060689,0.143397,0.079013,0.060531,0.170394,0.550628,0.068885,0.044281,-0.020088,0.031494
203,0.139627,0.103488,0.059962,0.142971,0.082418,0.060467,0.170486,0.556245,0.068808,0.043202,-0.019642,0.031351
204,0.140334,0.101462,0.060064,0.142898,0.084112,0.060456,0.170576,0.56175,0.068734,0.042145,-0.019205,0.031211
205,0.141027,0.099477,0.060165,0.142826,0.085772,0.060446,0.170664,0.567145,0.068661,0.041109,-0.018777,0.031074
206,0.141706,0.097531,0.060263,0.142756,0.087399,0.060435,0.170751,0.572432,0.068589,0.040094,-0.018357,0.030939
207,0.142371,0.095625,0.060359,0.142687,0.088993,0.060425,0.170835,0.577613,0.068519,0.039099,-0.017946,0.030808
208,0.143024,0.093756,0.060454,0.14262,0.090556,0.060416,0.170918,0.58269,0.06845,0.038124,-0.017543,0.030679
209,0.143663,0.091925,0.060546,0.142554,0.092087,0.060406,0.171,0.587666,0.068382,0.037168,-0.017148,0.030552
210,0.144289,0.090131,0.060637,0.142489,0.093588,0.060397,0.171079,0.592542,0.068316,0.036231,-0.016761,0.030428
211,0.144903,0.088373,0.060726,0.142425,0.095058,0.060387,0.171157,0.597321,0.068252,0.035314,-0.016382,0.030307
212,0.145505,0.086649,0.060813,0.142707,0.094841,0.0604,0.171234,0.601815,0.068188,0.034414,-0.01601,0.030188
213,0.146094,0.08496,0.060898,0.143353,0.092988,0.060493,0.171309,0.589823,0.068126,0.037225,-0.015646,0.030885
214,0.146672,0.083305,0.060981,0.143985,0.091172,0.060585,0.171382,0.578071,0.068065,0.039981,-0.015289,0.031569
