idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
334 4579    12186   /   8791    8738    /   6514    5350    /   48788   65833   /   0.061   0.061   0.0598 0.0643  2351422.909
335 4579    7106    /   8791    10760   /   6514    8222    /   48788   61290   /   0.0478  0.0475  0.0462 0.0526  1760177.622
336 4579    4777    /   8791    6029    /   6514    2978    /   48788   29680   /   0.0929  0.092   0.0902 0.0987  4162000.177
337 4579    5069    /   8791    5993    /   6514    3222    /   48788   29615   /   0.0866  0.0856  0.084  0.0915  3656658.56
338 4579    11767   /   8791    10143   /   6514    4570    /   48788   52570   /   0.0571  0.0559  0.0549 0.0616  2580198.715
339 4579    12811   /   8791    10630   /   6514    5840    /   48788   65778   /   0.0431  0.0421  0.0411 0.0474  2000381.05
340 4579    9776    /   8791    11032   /   6514    8162    /   48788   64560   /   0.0454  0.0453  0.0433 0.0483  1707781.223
341 4579    4881    /   8791    5802    /   6514    2883    /   48788   29578   /   0.104   0.103   0.101  0.11    4476596.528
342 4579    7592    /   8791    6137    /   6514    3305    /   48788   43098   /   0.0746  0.0737  0.0725 0.0787  3788541.047
343 4579    6302    /   8791    10518   /   6514    8497    /   48788   58912   /   0.0782  0.0771  0.076  0.0815  2831063.879
344 4579    5698    /   8791    8502    /   6514    4606    /   48788   41783   /   0.0575  0.0573  0.0556 0.0628  2115143.449
345 4579    7226    /   8791    11311   /   6514    8241    /   48788   61310   /   0.0565  0.0563  0.055  0.0616  1947964.937
346 4579    7447    /   8791    6119    /   6514    3267    /   48788   43147   /   0.0727  0.0718  0.0703 0.0774  3781912.325
347 45  79    7592    /   8791    6117    /   6514    3235    /   48788   43096   /   0.0718    0.0711  0.0695  0.0758  3721850.856
348 4579    5181    /   8791    8208    /   6514    4027    /   48788   31172   /   0.096   0.0951  0.0931 0.1 3390532.515
349 4579    5838    /   8791    8607    /   6514    5403    /   48788   42140   /   0.0631  0.0629  0.0613 0.0688  2345554.607
350 4579    7175    /   8791    10234   /   6514    6927    /   48788   60859   /   0.0538  0.0536  0.0526 0.0572  1902240.149
351 4579    4836    /   8791    6233    /   6514    3033    /   48788   29694   /   0.104   0.103   0.101  0.11    4600323.853
352 4579    5097    /   8791    5743    /   6514    3198    /   48788   29707   /   0.095   0.094   0.0922 0.0998  3931289.765
353 4579    5118    /   8791    8419    /   6514    4583    /   48788   32147   /   0.0835  0.0824  0.0809 0.0879  3071113.171
354 4579    5627    /   8791    8475    /   6514    4382    /   48788   41583   /   0.0512  0.0509  0.0493 0.0563  2075780.039
355 4579    9815    /   8791    10658   /   6514    6900    /   48788   64110   /   0.0385  0.0383  0.0374 0.0415  1646473.209
356 4579    7447    /   8791    6480    /   6514    3286    /   48788   43159   /   0.0729  0.0719  0.0704 0.0773  3701832.234
357 4579    5069    /   8791    5977    /   6514    2979    /   48788   29655   /   0.0877  0.0866  0.0851 0.0923  3792348.344
358 4579    5048    /   8791    8507    /   6514    3847    /   48788   31348   /   0.0856  0.0844  0.083  0.0902  3128796.792
359 4579    8493    /   8791    8779    /   6514    5239    /   48788   55684   /   0.0425  0.0425  0.0411 0.0465  1752328.11
360 4579    7315    /   8791    10080   /   6514    7078    /   48788   61032   /   0.0491  0.0489  0.0473 0.0547  1831358.284
361 4579    4843    /   8791    6114    /   6514    4604    /   48788   33007   /   0.119   0.118   0.116  0.124   4019280.6
362 4579    7592    /   8791    9067    /   6514    4015    /   48788   43217   /   0.0735  0.0725  0.0715 0.0774  3502230.732
363 4579    5297    /   8791    9679    /   6514    4479    /   48788   31139   /   0.0842  0.0827  0.0816 0.0885  3065816.882
364 4579    5671    /   8791    8882    /   6514    4317    /   48788   41438   /   0.0653  0.065   0.0635 0.0709  2451886.761
365 4579    13160   /   8791    10608   /   6514    6918    /   48788   67905   /   0.0413 0.0408   0.0399 0.0447  1607405.335
366 4579    4713    /   8791    6228    /   6514    2897    /   48788   29669   /   0.105   0.104   0.102  0.111   4599017.689
367 4579    11495   /   8791    5741    /   6514    3678    /   48788   52036   /   0.0959  0.0953  0.0938 0.101   3760978.719
368 4579    7807    /   8791    8462    /   6514    3700    /   48788   43208   /   0.066   0.065   0.0638 0.0694  2838403.782
369 4579    12194   /   8791    10658   /   6514    5863    /   48788   65854   /   0.0514  0.0508  0.05   0.0549  2086256.955
370 4579    9772    /   8791    10471   /   6514    6843    /   48788   64086   /   0.05    0.0501  0.0488 0.0535  1976000.364
371 4579    7447    /   8791    6333    /   6514    3420    /   48788   43187   /   0.072   0.0712  0.0696 0.0762  3493263.434
372 4579    4849    /   8791    5641    /   6514    2976    /   48788   29431   /   0.124   0.123   0.121  0.129   4233714.832
373 4579    8416    /   8791    11399   /   6514    8440    /   48788   61952   /   0.0497  0.049   0.0482 0.0524  2185823.947
374 4579    8487    /   8791    8883    /   6514    5216    /   48788   55690   /   0.0423  0.0422  0.041  0.0455  1785198.552
375 4579    7299    /   8791    11299   /   6514    7346    /   48788   60937   /   0.0583  0.0579  0.0568 0.0628  1889592.17
376 4579    7447    /   8791    5999    /   6514    3135    /   48788   43147   /   0.0754  0.0745  0.0729 0.0799  4013930.087
377 4579    11443   /   8791    6006    /   6514    3725    /   48788   52042   /   0.0935  0.0926  0.0914 0.0979  3599461.107
378 4579    11930   /   8791    10135   /   6514    4743    /   48788   52665   /   0.0646  0.0636  0.0624 0.0696  2784313.89
379 4579    5696    /   8791    8312    /   6514    4318    /   48788   41493   /   0.0564  0.0562  0.0544 0.062   2251047.176
380 4579    12861   /   8791    10695   /   6514    6959    /   48788   68783   /   0.0503  0.0499  0.0489 0.0536  1962011.368
381 4579    5053    /   8791    6178    /   6514    3600    /   48788   33585   /   0.0925  0.0914  0.0902 0.0979  3932846.704
382 4579    4863    /   8791    8767    /   6514    3959    /   48788   29658   /   0.086   0.0846  0.0835 0.0912  3619124.671
383 4579    11900   /   8791    8811    /   6514    3799    /   48788   52239   /   0.0585  0.0574  0.0554 0.063   2632894.811
384 4579    5803    /   8791    8484    /   6514    4444    /   48788   41693   /   0.0572  0.057   0.0526 0.0628  2075668.729
385 4579    7207    /   8791    10113   /   6514    6844    /   48788   60890   /   0.0543  0.054   0.0526 0.0593  1974106.443
